dimension,id,indicator,i_weight,type,dom_id,dim_id,d_weight,i_weighted
Sensitivity,a.1.1,Employment statuts,25.0,indicator,1,1,25.0,6.25
Sensitivity,a.1.2,Percentage of catch from fishing sold,25.0,indicator,1,1,25.0,6.25
Sensitivity,a.1.3,Percentage of income from the main activity,25.0,indicator,1,1,25.0,6.25
Sensitivity,a.1.4,Time conducting the activity,25.0,indicator,1,1,25.0,6.25
Sensitivity,a.2.1,Gender,25.0,indicator,2,1,25.0,6.25
Sensitivity,a.2.2,Years living in the village,25.0,indicator,2,1,25.0,6.25
Sensitivity,a.2.3,Percentage of children in the family members,25.0,indicator,2,1,25.0,6.25
Sensitivity,a.2.4,Percentage Family dependency,25.0,indicator,2,1,25.0,6.25
Sensitivity,a.3.1,Appreciation of biodiversity,33.33,indicator,3,1,25.0,8.3325
Sensitivity,a.3.2,Identity and pride,33.33,indicator,3,1,25.0,8.3325
Sensitivity,a.3.3,Appreciation of lifestyle,33.33,indicator,3,1,25.0,8.3325
Sensitivity,a.4.1,Age,33.33,indicator,4,1,25.0,8.3325
Sensitivity,a.4.2,Nutritional dependecy,33.33,indicator,4,1,25.0,8.3325
Sensitivity,a.4.3,Sense of place,33.33,indicator,4,1,25.0,8.3325
Adaptive Capacity,b.1.1,Level of education,33.33,indicator,5,2,20.0,6.6659999999999995
Adaptive Capacity,b.1.2,Knowledge of rules,33.33,indicator,5,2,20.0,6.6659999999999995
Adaptive Capacity,b.1.3,Access to information,33.33,indicator,5,2,20.0,6.6659999999999995
Adaptive Capacity,b.2.1,Material style of life,33.33,indicator,6,2,20.0,6.6659999999999995
Adaptive Capacity,b.2.2,Community infrastructure,33.33,indicator,6,2,20.0,6.6659999999999995
Adaptive Capacity,b.2.3,Access to credits,33.33,indicator,6,2,20.0,6.6659999999999995
Adaptive Capacity,b.3.1,Livelihood multiplicity,25.0,indicator,7,2,20.0,5.0
Adaptive Capacity,b.3.2,Adapt to live without fishing,25.0,indicator,7,2,20.0,5.0
Adaptive Capacity,b.3.3,Gear,25.0,indicator,7,2,20.0,5.0
Adaptive Capacity,b.3.4,Spatial mobility,25.0,indicator,7,2,20.0,5.0
Adaptive Capacity,b.4.1,Perceived capacity,33.33,indicator,8,2,20.0,6.6659999999999995
Adaptive Capacity,b.4.2,Recognition of causality,33.33,indicator,8,2,20.0,6.6659999999999995
Adaptive Capacity,b.4.3,Level of participation,33.33,indicator,8,2,20.0,6.6659999999999995
Adaptive Capacity,b.5.1,Trust in organizations,33.33,indicator,9,2,20.0,6.6659999999999995
Adaptive Capacity,b.5.2,Community cohesion,33.33,indicator,9,2,20.0,6.6659999999999995
Adaptive Capacity,b.5.3,Linking social capital,33.33,indicator,9,2,20.0,6.6659999999999995
Sensitivity,a.1,Livelihood - Economic dependency,25.0,domain,1,1,25.0,25.0
Sensitivity,a.2,Demographic ,25.0,domain,2,1,25.0,25.0
Sensitivity,a.3,Cultural,25.0,domain,3,1,25.0,25.0
Sensitivity,a.4,Health,25.0,domain,4,1,25.0,25.0
Adaptive Capacity,b.1,Learning,20.0,domain,5,2,20.0,20.0
Adaptive Capacity,b.2,Assets,20.0,domain,6,2,20.0,20.0
Adaptive Capacity,b.3,Flexibility,20.0,domain,7,2,20.0,20.0
Adaptive Capacity,b.4,Agency,20.0,domain,8,2,20.0,20.0
Adaptive Capacity,b.5,Organization,20.0,domain,9,2,20.0,20.0
Sensitivity,a,Sensitivity,100.0,dimension,10,1,,
Adaptive Capacity,b,Adaptive Capacity,100.0,dimension,10,1,,
