dimension,dom_ID,domain,d_weight,d_weight_norm,ind_ID,indicator,i_weight,i_weight_norm
Sensitivity,a.1,Livelihood - Economic dependency,33,0.33,a.1.1,Employment statuts,17.4,0.174
Sensitivity,a.1,Livelihood - Economic dependency,33,0.33,a.1.2,Percentage of catch from fishing sold,32.4,0.324
Sensitivity,a.1,Livelihood - Economic dependency,33,0.33,a.1.3,Percentage of income from the main activity,33.8,0.338
Sensitivity,a.1,Livelihood - Economic dependency,33,0.33,a.1.4,Time conducting the activity,16.4,0.164
Sensitivity,a.2,Demographic ,22.9,0.229,a.2.1,Gender,25.7,0.257
Sensitivity,a.2,Demographic ,22.9,0.229,a.2.2,Years living in the village,22,0.22
Sensitivity,a.2,Demographic ,22.9,0.229,a.2.3,Percentage of children in the family members,23.3,0.233
Sensitivity,a.2,Demographic ,22.9,0.229,a.2.4,Percentage Family dependency,29,0.29
Sensitivity,a.3,Cultural,17.8,0.178,a.3.1,Appreciation of biodiversity,30.2,0.302
Sensitivity,a.3,Cultural,17.8,0.178,a.3.2,Identity and pride,31.9,0.319
Sensitivity,a.3,Cultural,17.8,0.178,a.3.3,Appreciation of lifestyle,37.9,0.379
Sensitivity,a.4,Health,26.3,0.263,a.4.1,Age,20.8,0.208
Sensitivity,a.4,Health,26.3,0.263,a.4.2,Nutritional dependecy,55.1,0.551
Sensitivity,a.4,Health,26.3,0.263,a.4.3,Sense of place,24.1,0.241
Adaptive Capacity,b.1,Learning,24.1,0.241,b.1.1,Level of education,37.8,0.378
Adaptive Capacity,b.1,Learning,24.1,0.241,b.1.2,Knowledge of rules,28,0.28
Adaptive Capacity,b.1,Learning,24.1,0.241,b.1.3,Access to information,34.2,0.342
Adaptive Capacity,b.2,Assets,19.5,0.195,b.2.1,Material style of life,33.4,0.334
Adaptive Capacity,b.2,Assets,19.5,0.195,b.2.2,Community infrastructure,43.9,0.439
Adaptive Capacity,b.2,Assets,19.5,0.195,b.2.3,Access to credits,22.7,0.227
Adaptive Capacity,b.3,Flexibility,22.8,0.228,b.3.1,Livelihood multiplicity,41.4,0.414
Adaptive Capacity,b.3,Flexibility,22.8,0.228,b.3.2,Adapt to live without fishing,19.7,0.197
Adaptive Capacity,b.3,Flexibility,22.8,0.228,b.3.3,Gear,20.2,0.202
Adaptive Capacity,b.3,Flexibility,22.8,0.228,b.3.4,Spatial mobility,18.7,0.187
Adaptive Capacity,b.4,Agency,15.3,0.153,b.4.1,Perceived capacity,36.4,0.364
Adaptive Capacity,b.4,Agency,15.3,0.153,b.4.2,Recognition of causality,30.8,0.308
Adaptive Capacity,b.4,Agency,15.3,0.153,b.4.3,Level of participation,32.8,0.328
Adaptive Capacity,b.5,Organization,18.3,0.183,b.5.1,Trust in organizations,33.9,0.339
Adaptive Capacity,b.5,Organization,18.3,0.183,b.5.2,Community cohesion,34.1,0.341
Adaptive Capacity,b.5,Organization,18.3,0.183,b.5.3,Linking social capital,32,0.32
