id,raw_mean,item,type,dom_id,dimension,score,i_weight
a.1.1,0.9403669724770642,Employment statuts,indicator,1,Sensitivity,baseline,25.0
a.1.2,0.9572477064220184,Percentage of catch from fishing sold,indicator,1,Sensitivity,baseline,25.0
a.1.3,0.925361009174312,Percentage of income from the main activity,indicator,1,Sensitivity,baseline,25.0
a.1.4,0.22611651376146788,Time conducting the activity,indicator,1,Sensitivity,baseline,25.0
a.2.1,0.14678899082568808,Gender,indicator,2,Sensitivity,baseline,25.0
a.2.2,0.29506009174311926,Years living in the village,indicator,2,Sensitivity,baseline,25.0
a.2.3,0.4184339449541285,Percentage of children in the family members,indicator,2,Sensitivity,baseline,25.0
a.2.4,0.4702775229357798,Percentage Family dependency,indicator,2,Sensitivity,baseline,25.0
a.3.1,0.7110091743119266,Appreciation of biodiversity,indicator,3,Sensitivity,baseline,33.33
a.3.2,0.463302752293578,Identity and pride,indicator,3,Sensitivity,baseline,33.33
a.3.3,0.7522935779816514,Appreciation of lifestyle,indicator,3,Sensitivity,baseline,33.33
a.4.1,0.31330275229357796,Age,indicator,4,Sensitivity,baseline,33.33
a.4.2,0.3130412844036697,Nutritional dependecy,indicator,4,Sensitivity,baseline,33.33
a.4.3,0.5997706422018348,Sense of place,indicator,4,Sensitivity,baseline,33.33
b.1.1,0.14793577981651376,Level of education,indicator,5,Adaptive Capacity,baseline,33.33
b.1.2,0.9174311926605505,Knowledge of rules,indicator,5,Adaptive Capacity,baseline,33.33
b.1.3,0.5137614678899083,Access to information,indicator,5,Adaptive Capacity,baseline,33.33
b.2.1,0.1794940366972477,Material style of life,indicator,6,Adaptive Capacity,baseline,33.33
b.2.2,0.3623853211009174,Community infrastructure,indicator,6,Adaptive Capacity,baseline,33.33
b.2.3,0.05069124423963134,Access to credits,indicator,6,Adaptive Capacity,baseline,33.33
b.3.1,0.3379018348623853,Livelihood multiplicity,indicator,7,Adaptive Capacity,baseline,25.0
b.3.2,0.4598623853211009,Adapt to live without fishing,indicator,7,Adaptive Capacity,baseline,25.0
b.3.3,0.19495412844036697,Gear,indicator,7,Adaptive Capacity,baseline,25.0
b.3.4,0.40022935779816515,Spatial mobility,indicator,7,Adaptive Capacity,baseline,25.0
b.4.1,0.5263761467889908,Perceived capacity,indicator,8,Adaptive Capacity,baseline,33.33
b.4.2,0.5229357798165137,Recognition of causality,indicator,8,Adaptive Capacity,baseline,33.33
b.4.3,0.39793119266055044,Level of participation,indicator,8,Adaptive Capacity,baseline,33.33
b.5.1,0.7199541284403671,Trust in organizations,indicator,9,Adaptive Capacity,baseline,33.33
b.5.2,0.6980151376146789,Community cohesion,indicator,9,Adaptive Capacity,baseline,33.33
b.5.3,0.6330275229357798,Linking social capital,indicator,9,Adaptive Capacity,baseline,33.33
a.1.1,0.059633027522935755,Employment statuts_marginal,indicator,1,Sensitivity,marginal,25.0
a.1.2,0.042752293577981604,Percentage of catch from fishing sold_marginal,indicator,1,Sensitivity,marginal,25.0
a.1.3,0.07463899082568803,Percentage of income from the main activity_marginal,indicator,1,Sensitivity,marginal,25.0
a.1.4,0.7738834862385321,Time conducting the activity_marginal,indicator,1,Sensitivity,marginal,25.0
a.2.1,0.8532110091743119,Gender_marginal,indicator,2,Sensitivity,marginal,25.0
a.2.2,0.7049399082568808,Years living in the village_marginal,indicator,2,Sensitivity,marginal,25.0
a.2.3,0.5815660550458714,Percentage of children in the family members_marginal,indicator,2,Sensitivity,marginal,25.0
a.2.4,0.5297224770642202,Percentage Family dependency_marginal,indicator,2,Sensitivity,marginal,25.0
a.3.1,0.28899082568807344,Appreciation of biodiversity_marginal,indicator,3,Sensitivity,marginal,33.33
a.3.2,0.536697247706422,Identity and pride_marginal,indicator,3,Sensitivity,marginal,33.33
a.3.3,0.24770642201834858,Appreciation of lifestyle_marginal,indicator,3,Sensitivity,marginal,33.33
a.4.1,0.686697247706422,Age_marginal,indicator,4,Sensitivity,marginal,33.33
a.4.2,0.6869587155963304,Nutritional dependecy_marginal,indicator,4,Sensitivity,marginal,33.33
a.4.3,0.40022935779816515,Sense of place_marginal,indicator,4,Sensitivity,marginal,33.33
b.1.1,0.8520642201834863,Level of education_marginal,indicator,5,Adaptive Capacity,marginal,33.33
b.1.2,0.08256880733944949,Knowledge of rules_marginal,indicator,5,Adaptive Capacity,marginal,33.33
b.1.3,0.4862385321100917,Access to information_marginal,indicator,5,Adaptive Capacity,marginal,33.33
b.2.1,0.8205059633027523,Material style of life_marginal,indicator,6,Adaptive Capacity,marginal,33.33
b.2.2,0.6376146788990826,Community infrastructure_marginal,indicator,6,Adaptive Capacity,marginal,33.33
b.2.3,0.9493087557603687,Access to credits_marginal,indicator,6,Adaptive Capacity,marginal,33.33
b.3.1,0.6620981651376148,Livelihood multiplicity_marginal,indicator,7,Adaptive Capacity,marginal,25.0
b.3.2,0.5401376146788991,Adapt to live without fishing_marginal,indicator,7,Adaptive Capacity,marginal,25.0
b.3.3,0.805045871559633,Gear_marginal,indicator,7,Adaptive Capacity,marginal,25.0
b.3.4,0.5997706422018348,Spatial mobility_marginal,indicator,7,Adaptive Capacity,marginal,25.0
b.4.1,0.4736238532110092,Perceived capacity_marginal,indicator,8,Adaptive Capacity,marginal,33.33
b.4.2,0.47706422018348627,Recognition of causality_marginal,indicator,8,Adaptive Capacity,marginal,33.33
b.4.3,0.6020688073394496,Level of participation_marginal,indicator,8,Adaptive Capacity,marginal,33.33
b.5.1,0.2800458715596329,Trust in organizations_marginal,indicator,9,Adaptive Capacity,marginal,33.33
b.5.2,0.3019848623853211,Community cohesion_marginal,indicator,9,Adaptive Capacity,marginal,33.33
b.5.3,0.3669724770642202,Linking social capital_marginal,indicator,9,Adaptive Capacity,marginal,33.33
