id,raw_mean,item,type,dom_id,dimension,score,id_original,i_weight
a.1.1,0.9403669724770642,Employment statuts,indicator,1,Sensitivity,baseline,a.1.1,17.4
a.1.2,0.9572477064220184,Percentage of catch from fishing sold,indicator,1,Sensitivity,baseline,a.1.2,32.4
a.1.3,0.925361009174312,Percentage of income from the main activity,indicator,1,Sensitivity,baseline,a.1.3,33.8
a.1.4,0.22611651376146788,Time conducting the activity,indicator,1,Sensitivity,baseline,a.1.4,16.4
a.2.1,0.14678899082568808,Gender,indicator,2,Sensitivity,baseline,a.2.1,25.7
a.2.2,0.29506009174311926,Years living in the village,indicator,2,Sensitivity,baseline,a.2.2,22.0
a.2.3,0.4184339449541285,Percentage of children in the family members,indicator,2,Sensitivity,baseline,a.2.3,23.3
a.2.4,0.4702775229357798,Percentage Family dependency,indicator,2,Sensitivity,baseline,a.2.4,29.0
a.3.1,0.7110091743119266,Appreciation of biodiversity,indicator,3,Sensitivity,baseline,a.3.1,30.2
a.3.2,0.463302752293578,Identity and pride,indicator,3,Sensitivity,baseline,a.3.2,31.9
a.3.3,0.7522935779816514,Appreciation of lifestyle,indicator,3,Sensitivity,baseline,a.3.3,37.9
a.4.1,0.31330275229357796,Age,indicator,4,Sensitivity,baseline,a.4.1,20.8
a.4.2,0.3130412844036697,Nutritional dependecy,indicator,4,Sensitivity,baseline,a.4.2,55.1
a.4.3,0.5997706422018348,Sense of place,indicator,4,Sensitivity,baseline,a.4.3,24.1
b.1.1,0.14793577981651376,Level of education,indicator,5,Adaptive Capacity,baseline,b.1.1,37.8
b.1.2,0.9174311926605505,Knowledge of rules,indicator,5,Adaptive Capacity,baseline,b.1.2,28.0
b.1.3,0.5137614678899083,Access to information,indicator,5,Adaptive Capacity,baseline,b.1.3,34.2
b.2.1,0.1794940366972477,Material style of life,indicator,6,Adaptive Capacity,baseline,b.2.1,33.4
b.2.2,0.3623853211009174,Community infrastructure,indicator,6,Adaptive Capacity,baseline,b.2.2,43.9
b.2.3,0.05069124423963134,Access to credits,indicator,6,Adaptive Capacity,baseline,b.2.3,22.7
b.3.1,0.3379018348623853,Livelihood multiplicity,indicator,7,Adaptive Capacity,baseline,b.3.1,41.4
b.3.2,0.4598623853211009,Adapt to live without fishing,indicator,7,Adaptive Capacity,baseline,b.3.2,19.7
b.3.3,0.19495412844036697,Gear,indicator,7,Adaptive Capacity,baseline,b.3.3,20.2
b.3.4,0.40022935779816515,Spatial mobility,indicator,7,Adaptive Capacity,baseline,b.3.4,18.7
b.4.1,0.5263761467889908,Perceived capacity,indicator,8,Adaptive Capacity,baseline,b.4.1,36.4
b.4.2,0.5229357798165137,Recognition of causality,indicator,8,Adaptive Capacity,baseline,b.4.2,30.8
b.4.3,0.39793119266055044,Level of participation,indicator,8,Adaptive Capacity,baseline,b.4.3,32.8
b.5.1,0.7199541284403671,Trust in organizations,indicator,9,Adaptive Capacity,baseline,b.5.1,33.9
b.5.2,0.6980151376146789,Community cohesion,indicator,9,Adaptive Capacity,baseline,b.5.2,34.1
b.5.3,0.6330275229357798,Linking social capital,indicator,9,Adaptive Capacity,baseline,b.5.3,32.0
