Site,Village,a_sum,a.1_weighted,a.2_weighted,a.3_weighted,a.4_weighted
Mahajamba,Andranoboka,0.5783133293980393,0.2712455434117647,0.0896740004392157,0.10800760784313726,0.10938617770392157
Mahajamba,Besakoa,0.5711291434000001,0.27528453480000004,0.07140495945,0.1265847,0.09785494915000001
Mahajamba,Tsinjoarivo,0.5651464696567164,0.2790364165074627,0.06943583544626866,0.11605334328358209,0.10062087441940298
Mahajamba,Mahajamba (All),0.5708795372050725,0.275613429826087,0.07720053758188405,0.11460620289855071,0.10345936689855073
Sahamalaza,Analanabe,0.5197613400285714,0.2520031705714286,0.06627610369999999,0.11048714285714285,0.09099492290000001
Sahamalaza,Antafiatambalaka,0.5488648028,0.2688853566666667,0.0716308285111111,0.12224644444444444,0.08610217317777778
Sahamalaza,Lagnamena,0.5550791107,0.2568887247567568,0.09256795452972973,0.10507772972972973,0.1005447016837838
Sahamalaza,Maromanjo,0.5698785487444444,0.28379160333333336,0.05374749334444445,0.13630844444444445,0.09603100762222222
Sahamalaza,Sahamalaza (All),0.5539204600487501,0.26521362862500003,0.07682196046125,0.116440925,0.09544394596250001
